,z1_counts,z2_counts,o1_counts,o2_counts,g1_counts,g2_counts,h1_counts,h2_counts,t1_counts,t2_counts,b1_counts,b2_counts,m1_counts,m2_counts
AT4G18610,312.2367926,263.9404031,20.89276891,24.77329061,0,0,0,0,0,0,0,0,4.693459227,1.956546568
AT5G35620,2480.44011,2990.341551,7060.208278,9166.117525,8722.997289,6540.123735,5699.379545,7260.255799,2371.361821,2728.925205,897.8224154,951.231252,6921.287873,5787.464749
AT3G49580,1249.91685,1658.843316,177.2016326,195.9342075,8268.914443,7882.764432,0,1.000862393,6.559783737,3.246401624,0,0,308.2038225,288.5906188
AT5G24660,1024.951211,1328.54918,1542.195868,1171.101011,4498.052544,4486.074366,60.39077664,34.02932136,32.79891869,22.72481136,0,0,3712.526248,3358.412184
AT3G49570,69.81692257,218.230054,379.1650654,342.3218339,4563.861652,12538.10061,39.25400481,38.03277094,111.5163235,170.1114451,4.49473049,8.285986516,9011.441715,4741.690608
AT5G24655,295.7522415,232.9753279,64.22591924,63.05928519,6.580910818,16.54438773,3.019538832,3.002587179,0,2.597121299,4.49473049,0,1.564486409,0.978273284
AT3G25860,202.6630114,238.8734375,924.6984758,810.7622381,957.522524,890.8516472,2340.142595,2324.002477,19754.78872,16641.704,8577.069458,3730.351129,28.16075536,185.871924
AT3G52200,42.66589713,44.23582176,251.4870332,349.0781859,134.9086718,83.99458388,507.2825238,483.4165359,603.5001038,623.958392,338.2284694,372.8693932,45.37010586,66.52258332
AT3G50970,158.0577553,110.5895544,5.416643791,11.26058664,6.580910818,5.090580841,7.54884708,9.007761538,0,0,167.4287108,566.7614777,4145.888983,3082.539118
AT5G52300,0,0,25.53560644,38.28599458,39.48546491,16.54438773,0,0,0,7.791363896,641.6227775,523.6743478,9266.453,13220.38516
AT5G52310,39.75685869,23.59243827,564.1047605,576.542036,23.03318786,25.45290421,7.54884708,6.005174358,3.279891869,3.246401624,146.0787409,26.51515685,730.6151529,724.9005035
AT3G04290,151.2699989,51.60845871,116.8447446,150.891861,0,5.090580841,89.07639554,65.05605555,180.3940528,101.2877307,7.865778358,9.943183819,0,1.956546568
AT2G15050,593.4438419,595.7090663,59.5830817,119.3622184,13.16182164,11.45380689,0,7.006036752,13.11956747,8.440644221,8.989460981,3.314394606,0,0
AT3G51590,0,2.949054784,4.642837535,11.26058664,0,0,0,0,0,0,0,0,0,0
AT2G38530,329.6910233,452.6799093,212.7967204,367.0951245,223.7509678,187.0788459,842.4513341,833.7183734,3388.1283,2168.596285,32547.46716,71963.79289,719.6637481,1327.516846
AT5G59320,5712.381818,3661.251514,10110.55254,12931.6577,40479.18244,28978.13144,3895.205093,2547.19479,242.7119983,127.908224,7.865778358,3.314394606,0,8.804459557
AT5G59310,1705.666206,1701.60461,1785.944839,1585.490599,796.290209,584.1441515,170.603944,181.1560931,150.875026,200.6276203,12.36050885,9.943183819,4.693459227,7.826186273
AT3G51600,109.5737813,101.74239,116.8447446,159.9003303,306.012353,176.8976842,122.2913227,204.1759282,4319.617591,2522.454061,4238.530852,2066.525037,0,20.54373897
AT3G08770,41901.7897,61128.00756,93804.66337,163339.3135,13642.22813,6967.732526,1256.128154,2155.857595,462.4647535,322.0430411,86.52356194,54.687511,3.128972818,10.76100612
AT1G27950,1771.60441,2120.370389,4405.279015,3736.262647,22111.86035,24920.93851,21053.73451,15851.65858,22572.21584,38497.12901,31748.52882,23578.60323,2072.944492,5512.569956
AT4G32551,145.451922,103.2169174,1023.745677,736.4423663,799.5806644,782.6768043,3410.569111,4057.496142,1846.579122,1673.844677,1121.435257,541.9035181,1653.662134,1214.037146
AT2G32700,3204.790682,2517.018258,403.1530593,614.8280306,210.5891462,1749.887164,1157.993142,724.6243726,764.2148054,994.0481771,840.5146017,1559.422662,251.8823118,583.0508773
AT1G78970,19.3935896,17.6943287,55.71405042,56.3029332,6.580910818,0,3.019538832,0,72.15762111,53.24098663,147.2024236,66.28789213,0,6.847912988
